File Path,Page Title,URL Slug,Snippet Name
src/data/pages.json,"Pricing",pricing,Anytime-Soccer-Training-Pricing
src/data/pages.json,"For coaches",for-coaches,Trusted-by-Hundreds-of-Teams-and-Clubs
src/data/pages.json,"For parents",for-parents,Trusted-by-Hundreds-of-Teams-and-Clubs
src/data/pages.json,"The Ultimate Guest Player Guide",everything-you-need-to-know-about-guest-playing,The-Ultimate-Guest-Player-Guide
src/data/pages.json,"The Most Important Skill In Youth Soccer",the-most-important-skill-in-youth-soccer,The-Most-Important-Skill-Ebook
src/data/pages.json,"Free 30-Day Training Plan",free-30-day-training-plan,Training-Landing-Page
src/data/pages.json,"Free Soccer Training Videos",free-soccer-training-videos,Free-Video-Library-Lead-Magnet
src/data/pages.json,"Free 7-Day Soccer Training Plan | Anytime Soccer Training",free-7-day-soccer-training-plan-anytime-soccer-training,Free-7-Day-Training-Plan
src/data/pages.json,"Free Soccer Training Videos | 100+ YouTube Drills by Age Group",free-soccer-training-videos-100-youtube-drills-by-age-group,Free-YouTube-Video-Form
src/data/pages.json,"Free Soccer Training Video Library",free-soccer-training-video-library,YouTube-Library
src/data/pages.json,"Anytime Soccer Training Home Page",anytime-soccer-training-home-page,Anytime-Soccer-Training-Home-Page
src/data/pages.json,"Team Demo Request | Anytime Soccer Training",team-demo-request-anytime-soccer-training,Team-Demo-Request-Page
src/data/pages.json,"Must-Have Guide for Serious Soccer Parents",must-have-guide-for-serious-soccer-parents,The-Must-Have-Guide-to-In-home-Soccer-Training
src/data/pages.json,"Become a Rec Coach Superhero",become-a-rec-coach-superhero,Become-a-Rec-Coach-Superhero
src/data/pages.json,"20 Questions Every Parent Should Ask",20-questions-every-parent-should-ask,20-Questions-Every-Parent-Should-Ask
src/data/pages.json,"Free Team Access for the Season",free-team-access-for-the-season,Free-Team-Access-for-the-Season
src/data/pages.json,"Getting Started with Anytime Soccer Training",getting-started-with-anytime-soccer-training,Getting-Started
src/data/pages.json,"Applying Team Code to Existing Account",applying-team-code-to-existing-account,Adding-Team-Code
src/data/pages.json,"Anytime-Soccer-Training-Free-7-Day-Plan",anytime-soccer-training-free-7-day-plan,Anytime-Soccer-Training-Free-7-Day-Plan
src/data/pages.json,"Anytime-Soccer-Training-Line-Cone-Dribbling",anytime-soccer-training-line-cone-dribbling,Anytime-Soccer-Training-Line-Cone-Dribbling
src/data/pages.json,"Anytime Soccer Training Juggling Program",anytime-soccer-training-juggling-program,Anytime-Soccer-Training-Juggling-Program
src/data/pages.json,"Anytime Soccer Training vs YouTube",anytime-soccer-training-vs-youtube,Anytime-Soccer-Training-vs-YouTube
src/data/pages.json,"Anytime Soccer Training Demo Agenda",anytime-soccer-training-demo-agenda,Anytime-Soccer-Training-Demo
src/data/pages.json,"Anytime-Soccer-Training-Demo-Survey",anytime-soccer-training-demo-survey,Anytime-Soccer-Training-Demo-Survey
src/data/pages.json,"Anytime Soccer Training Onboarding Checklist",anytime-soccer-training-onboarding-checklist,Anytime-Soccer-Training-Onboarding-Checklist
src/data/pages.json,"How to Access Your Homework",how-to-access-your-homework,How-to-Access-Your-Homework
src/data/pages.json,"How to Create Your Anytime Soccer Training Account",how-to-create-your-anytime-soccer-training-account,Creating-an-Anytime-Soccer-Training-Account
src/data/pages.json,"Adding an Anytime Soccer Training Player Profile",adding-an-anytime-soccer-training-player-profile,Adding-Player-Profile
src/data/pages.json,"Joining Anytime Soccer Training Team",joining-anytime-soccer-training-team,Joining-an-Anytime-Soccer-Training-Team
src/data/pages.json,"Anytime-Soccer Training New Account Sign-up",anytime-soccer-training-new-account-sign-up,Anytime-Soccer-Training-New-Account-Sign-up
src/data/pages.json,"Creating an Anytime Soccer Training Team",creating-an-anytime-soccer-training-team,Creating-an-Anytime-Soccer-Training-Team
src/data/pages.json,"How it Works",how-it-works,How-it-Works
src/data/pages.json,"Resources",resources,Resources
src/data/pages.json,"Our Picks",our-picks,Store
src/data/pages.json,"Merch",merch,Merch
src/data/pages.json,"The Inside Scoop Podcast | Youth Soccer Tips for Parents & Coaches",the-inside-scoop-podcast-youth-soccer-tips-for-parents-coaches,Podcast-Hub
src/data/pages.json,"Free Resource Hub",free-resource-hub,Free-Resource-Hub
src/data/pages.json,"2015-Legacy-Girls Getting Started",2015-legacy-girls-getting-started,2015-Legacy-Girls
src/data/pages.json,"Carolina Velocity Academy Getting Started",carolina-velocity-academy-getting-started,Carolina-Velocity-Academy
src/data/pages.json,"Ulete FC Getting Started",ulete-fc-getting-started,ULETE-FC
src/data/pages.json,"Pekin Pride 2013/14 Girls Getting Started",pekin-pride-2013-14-girls-getting-started,Pekin-Pride-201314-Girls
src/data/pages.json,"DHL United Getting Started",dhl-united-getting-started,DHL-United
src/data/pages.json,"Monopoly: Addressing Issues Facing Youth Soccer Ebook",monopoly-addressing-issues-facing-youth-soccer-ebook,Monopoly-Addressing-Youth-Soccer
src/data/pages.json,"The Parent Trainer's Playbook",the-parent-trainers-playbook,The-Parent-Trainers-Playbook
src/data/pages.json,"Everything You Need to Know About Player Cards",everything-you-need-to-know-about-player-cards,Player-Cards-Ebook
src/data/pages.json,"Grasshoppers Getting Started",grasshoppers-getting-started,Grasshoppers
src/data/pages.json,"Coach Contact Information",coach-contact-information,Coach-Contact-Information
src/data/pages.json,"club-partnership",club-partnership,Case-Study
src/data/pages.json,"Avalanche Getting Started",avalanche-getting-started,Avalanche
src/data/pages.json,"Soccer Age Group Calculator | Free Tool | Anytime Soccer",calculator,Agegroup
src/data/pages.json,"North Boise FC Getting Started",north-boise-fc-getting-started,North-Boise
src/data/pages.json,"Getting Started Guide for Coaches",getting-started-guide-for-coaches-anytime-soccer-training,Coach-Getting-Started
src/data/pages.json,"Getting Started South Parkland Mutiny",getting-started-south-parkland-mutiny,South-Parkland-Mutiny
src/data/pages.json,"Getting Started AFC",getting-started-afc,AFC2025
src/data/pages.json,"Funderaiser",funderaiser,Fundraiser
